run_id,sim_time,event_type,actor_type,actor_id,u,v,segment_id,occupancy,rho_max,length_m
20260610_175521_48753422,80808.90841231917,enter,car,1573,2384634611,46370980,2384634611->46370980,1.2995714917153105,14.06438928240895,105.48291961806713
20260610_175521_48753422,80813.29670473587,exit,car,1575,46359275,46365929,46359275->46365929,1.5983369667700602,28.090937407045082,210.6820305528381
20260610_175521_48753422,80813.29670473587,enter,car,1575,46365929,46366196,46365929->46366196,1.032765627334384,1.5382923631166157,11.537192723374618
20260610_175521_48753422,80813.7584494938,exit,car,1573,2384634611,46370980,2384634611->46370980,0.2995714917153106,14.06438928240895,105.48291961806713
20260610_175521_48753422,80813.7584494938,enter,car,1573,46370980,13295721652,46370980->13295721652,2.151406291495989,108.11326680713513,405.4247505267567
20260610_175521_48753422,80813.82717747783,exit,car,1575,46365929,46366196,46365929->46366196,0.03276562733438391,1.5382923631166157,11.537192723374618
20260610_175521_48753422,80813.82717747783,enter,car,1575,46366196,2384634607,46366196->2384634607,1.0486965654585652,2.286223730449071,17.146677978368032
20260610_175521_48753422,80814.61557076384,exit,car,1575,46366196,2384634607,46366196->2384634607,0.048696565458565204,2.286223730449071,17.146677978368032
20260610_175521_48753422,80814.61557076384,enter,car,1575,2384634607,46367537,2384634607->46367537,1.0494404781295823,2.32114920796161,17.408619059712073
20260610_175521_48753422,80815.41600793324,exit,car,1575,2384634607,46367537,2384634607->46367537,0.04944047812958227,2.32114920796161,17.408619059712073
20260610_175521_48753422,80815.41600793324,enter,car,1575,46367537,5155698570,46367537->5155698570,1.0504263134524379,2.3674325564524836,17.755744173393627
20260610_175521_48753422,80816.23240569333,exit,car,1575,46367537,5155698570,46367537->5155698570,0.05042631345243789,2.3674325564524836,17.755744173393627
20260610_175521_48753422,80816.23240569333,enter,car,1575,5155698570,2384634611,5155698570->2384634611,1.0385730230085675,1.8109400473505892,13.58205035512942
20260610_175521_48753422,80816.85689968125,exit,car,1575,5155698570,2384634611,5155698570->2384634611,0.03857302300856755,1.8109400473505892,13.58205035512942
20260610_175521_48753422,80816.85689968125,enter,car,1575,2384634611,46370980,2384634611->46370980,1.2995714917153105,14.06438928240895,105.48291961806713
