run_id,sim_time,queue_name,location,length,event_type,actor_type,actor_id
20260611_171703_102cf35c,66327.83994440238,car_queue_46354890,46354890,0,dequeue,visitor,11
20260611_171703_102cf35c,66337.87372805501,car_queue_46354890,Node1,1,enqueue,visitor,12
20260611_171703_102cf35c,66337.87372805501,car_queue_46354890,46354890,0,dequeue,visitor,12
20260611_171703_102cf35c,66338.77155566393,car_queue_46354890,Node1,1,enqueue,visitor,13
20260611_171703_102cf35c,66338.77155566393,car_queue_46354890,46354890,0,dequeue,visitor,13
20260611_171703_102cf35c,66340.18178710187,car_queue_46354890,Node1,1,enqueue,visitor,14
20260611_171703_102cf35c,66340.18178710187,car_queue_46354890,46354890,0,dequeue,visitor,14
20260611_171703_102cf35c,66341.96561140257,car_queue_3611512307,Node5,1,enqueue,visitor,15
20260611_171703_102cf35c,66341.96561140257,car_queue_3611512307,3611512307,0,dequeue,visitor,15
20260611_171703_102cf35c,66345.62704202285,car_queue_46354890,Node1,1,enqueue,visitor,16
20260611_171703_102cf35c,66345.62704202285,car_queue_46354890,46354890,0,dequeue,visitor,16
20260611_171703_102cf35c,66349.42877102275,car_queue_3611512307,Node5,1,enqueue,visitor,17
20260611_171703_102cf35c,66349.42877102275,car_queue_3611512307,3611512307,0,dequeue,visitor,17
20260611_171703_102cf35c,66352.72478322888,car_queue_3611512307,Node5,1,enqueue,visitor,18
20260611_171703_102cf35c,66352.72478322888,car_queue_3611512307,3611512307,0,dequeue,visitor,18
20260611_171703_102cf35c,66360,shuttle_bus_queue,bus_stop,0,snapshot,system,
20260611_171703_102cf35c,66360,ticket_scan_queue,ticket_scan,0,snapshot,system,
20260611_171703_102cf35c,66360,car_queue_46354890,46354890,0,snapshot,system,
20260611_171703_102cf35c,66360,car_queue_46336597,46336597,0,snapshot,system,
20260611_171703_102cf35c,66360,car_queue_46527746,46527746,0,snapshot,system,
20260611_171703_102cf35c,66360,car_queue_46493064,46493064,0,snapshot,system,
20260611_171703_102cf35c,66360,car_queue_3611512307,3611512307,0,snapshot,system,
20260611_171703_102cf35c,66360,parking_entry_queue,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66360,parking_lot_occupancy,parking_lot,0,snapshot,system,
20260611_171703_102cf35c,66360.11207660209,car_queue_46354890,Node1,1,enqueue,visitor,19
20260611_171703_102cf35c,66360.11207660209,car_queue_46354890,46354890,0,dequeue,visitor,19
20260611_171703_102cf35c,66363.02048819835,car_queue_46354890,Node1,1,enqueue,visitor,20
20260611_171703_102cf35c,66363.02048819835,car_queue_46354890,46354890,0,dequeue,visitor,20
20260611_171703_102cf35c,66364.34093644824,car_queue_46354890,Node1,1,enqueue,visitor,21
20260611_171703_102cf35c,66364.34093644824,car_queue_46354890,46354890,0,dequeue,visitor,21
20260611_171703_102cf35c,66366.05775802808,car_queue_46354890,Node1,1,enqueue,visitor,22
20260611_171703_102cf35c,66366.05775802808,car_queue_46354890,46354890,0,dequeue,visitor,22
20260611_171703_102cf35c,66367.88314780692,car_queue_3611512307,Node5,1,enqueue,visitor,23
20260611_171703_102cf35c,66367.88314780692,car_queue_3611512307,3611512307,0,dequeue,visitor,23
20260611_171703_102cf35c,66370.25522304932,car_queue_3611512307,Node5,1,enqueue,visitor,24
20260611_171703_102cf35c,66370.25522304932,car_queue_3611512307,3611512307,0,dequeue,visitor,24
